1632
Catapult Turtle|YGLD-ENA08
Queen Nereia the Silvercrown|2011-EN002
Spore|GENF-ENSE2
Sylvan Bladefender|LVAL-ENSP1
Sylvan Snapdrassinagon|PRIO-ENPL1
Traptrix Rafflesia|OP13-EN003
Vampiric Orchis|DR1-EN069
Vampiric Orchis|MFC-014
Amazement Abomination Arlekino|CYAC-EN023
Ghost Ogre & Snow Rabbit|OP05-EN001
Hyper Psychic Riser|MP20-EN019
Kashtira Fenrir|OP21-EN003
Libromancer Geek Boy|
Libromancer Geek Boy|BACH-ENSP1
Psychic Wheeleder|MP20-EN014
Shelga, the Tri-Warlord|2016-EN002
Time Thief Redoer|MP20-EN040
Time Thief Winder|MP20-EN037
Gentlemander|BPW2-EN063
Gentlemander|WGRT-EN063
Worm Apocalypse|BPW2-EN028
Worm Apocalypse|WGRT-EN028
Worm Jetelikpse|BPW2-EN029
Worm Jetelikpse|WGRT-EN029
Evilswarm Obliviwisp|BPW2-EN057
Evilswarm Obliviwisp|WGRT-EN057
Neo Flamvell Lady|MP20-EN056
Adamancipator Researcher|MP21-EN225
Alpha The Magnet Warrior|YGLD-ENB11
Beta The Magnet Warrior|YGLD-ENB12
Blockman|YGLD-ENC21
Cyber Jar|DPKB-EN010
Evilswarm Heliotrope|BPW2-EN001
Evilswarm Heliotrope|WGRT-EN001
Gallant Granite|MP20-EN167
Gamma The Magnet Warrior|YGLD-ENB13
Giant Soldier of Stone|YGLD-ENA15
Golem Sentry|BPW2-EN014
Golem Sentry|WGRT-EN014
Legendary Jujitsu Master|BPW2-EN011
Legendary Jujitsu Master|WGRT-EN011
Naturia Rock|HAC1-EN094
Naturia Rock|HA02-EN002
Naturia Rock|DT02-EN008
Nibiru, the Primal Being|OP14-EN003
Skyfaring Castle of the Black Forest|2019-EN002
Valkyrion the Magna Warrior|YGLD-ENB01
Abyss Dweller|OP13-EN002
Atlantean Dragoons|AP02-EN001
Atlantean Marksman|AP03-EN001
Bahamut Shark|LED9-EN011
Bahamut Shark|OP13-EN009
Bahamut Shark|PGL3-EN069
Brionac, Dragon of the Ice Barrier|H5SE-EN001
Danger! Ogopogo!|MP20-EN001
Gladiator Beast Domitianus|MP20-EN165
Gladiator Beast Vespasius|MP20-EN157
Mermail Abyssalacia|MP20-EN095
Skystarray|BPW2-EN042
Skystarray|WGRT-EN042
Xyz Slidolphin|MP20-EN061
Apprentice Magician|BATT-EN002
Chow Len the Prophet|BPW2-EN044
Chow Len the Prophet|WGRT-EN044
Dark Magician|2021-EN001
Dark Magician|GFTP-EN128
Dark Magician|MVP1-ENSV3
Dark Magician|MVP1-ENGV3
Dark Magician Girl|GFP2-EN177
Dark Magician Girl|LART-EN019
Dark Magician of Chaos|YGLD-ENC02
Dark Paladin|YGLD-ENC41
Dogmatika Ecclesia, the Virtuous|OP18-EN001
Droll & Lock Bird|MAGO-EN006
Droll & Lock Bird|OP08-EN001
Ebon Illusion Magician|SHVI-ENSE1
Effect Veiler|ORCS-ENSE1
Engraver of the Mark|CORE-ENSE3
Exodia the Forbidden One|YGLD-ENA17
E☆HERO Pit Boss|2013-EN002
Fog King|OP02-EN001
Fog King|BPW2-EN099
Fog King|WGRT-EN099
Gagaga Girl|ABYR-ENSE1
Gagaga Magician|ZTIN-ENV01
Gravekeeper's Descendant|BATT-EN010
Gravekeeper's Priestess|ABPF-ENSP1
Herald of Creation|YS15-ENY05
High Priestess of Prophecy|BPW2-EN100
High Priestess of Prophecy|WGRT-EN100
Hiita the Fire Charmer, Ablaze|PHRA-EN100
Hiita the Fire Charmer, Ablaze|MP20-EN024
Kazejin|BPW2-EN004
Kazejin|WGRT-EN004
Kuzunoha, the Onmyojin|2015-EN001
Left Arm of the Forbidden One|YGLD-ENA21
Left Leg of the Forbidden One|YGLD-ENA19
Legendary Magician of Dark|WSUP-EN052
Legendary Magician of Dark|2012-EN002
Legendary Magician of Dark|2012-EN002
Lyla, Lightsworn Sorceress|BPW2-EN022
Lyla, Lightsworn Sorceress|WGRT-EN022
Magician of Black Chaos|YGLD-ENC01
Magician's Robe|SHVI-ENSE3
Maha Vailo|YS15-ENY07
Masterful Magician, Servant of the Sanctuary|2023-EN001
Medium of the Ice Barrier|BPW2-EN031
Medium of the Ice Barrier|WGRT-EN031
Mementotlan Angwitch|VASM-EN005
Mystical Elf|YGLD-ENA14
Mystical Elf|YS15-ENY02
Mystical Elf - White Lightning|LDS3-EN135
Noritoshi in Darkest Rainment|2019-EN004
Noritoshi in Darkest Rainment|2018-EN001
Number 11: Big Eye|AP06-EN002
Number 11: Big Eye|BPW2-EN102
Number 11: Big Eye|WGRT-EN102
Otohime|BPW2-EN005
Otohime|WGRT-EN005
Red-Eyes Dark Dragoon|MP20-EN249
Right Arm of the Forbidden One|YGLD-ENA20
Right Leg of the Forbidden One|YGLD-ENA18
Rogue Doll|SS01-ENA03
Rogue Doll|SS01-ENC01
Rogue of Endymion|MP20-EN146
Silent Magician LV4|YGLD-ENC05
Silent Magician LV8|YGLD-ENC04
Skilled Dark Magician|YGLD-ENC19
Skilled White Magician|YGLD-ENC20
T.G. Hyper Librarian|WQ11-EN002
Testament of the Arcane Lords|WCPS-AE703
Testament of the Arcane Lords|WCPS-EN601
The Dark Magicians|LDS3-EN090
The King of D.|LC06-EN002
The Tricky|YGLD-ENC12
Tsukuyomi|AP01-EN001
Water Enchantress of the Temple|OP19-EN002
Witchcrafter Edel|MP20-EN222
Witchcrafter Golem Aruru|MP20-EN113
Witchcrafter Haine|MP20-EN223
Witchcrafter Madame Verre|MP20-EN224
Witchcrafter Pittore|MP20-EN220
Witchcrafter Potterie|MP20-EN219
Witchcrafter Schmietta|MP20-EN221
Wynn the Wind Charmer, Verdant|MP20-EN124
Electric Virus|BATT-EN005
Emperor of Lightning|WCPS-EN702
Spright Blue|OP21-EN001
The Calculator|YS15-ENY11
Thunder Dragon Colossus|OP10-EN001
Thunder King Rai-Oh|TU08-EN000
Thunder Sea Horse|CT10-EN016
Wattkid|DB2-EN085
Wattkid|TP1-016
Wattlemur|BPW2-EN035
Wattlemur|WGRT-EN035
A/D Changer|BPW2-EN032
A/D Changer|WGRT-EN032
Amazoness Archer|DB1-EN233
Amazoness Archer|LON-032
Amazoness Swords Woman|SGX3-END02
Amazoness Swords Woman|SGX3-END02
Amazoness Swords Woman|STP2-EN004
Amazoness Swords Woman|SS02-ENC06
Amazoness Swords Woman|LEDU-EN013
Amazoness Swords Woman|GLD3-EN006
Amazoness Swords Woman|TP7-EN007
Amazoness Swords Woman|DR1-EN116
Amazoness Swords Woman|MFC-061
Armament of the Lethal Lords|WCPS-EN602
Battle Shogun of the Six Samurai|MGED-EN143
Battle Shogun of the Six Samurai|CHIM-ENSE2
Battle Survivor|SGX3-END10
Battle Warrior|OP01-EN015
Beckoned by the World Chalice|MP18-EN046
Beckoned by the World Chalice|COTD-EN020
Big Shield Gardna|YGLD-ENB14
Big Shield Gardna|DB1-EN097
Black Luster Soldier|YGLD-ENA01
Black Luster Soldier|WCS-003
Black Luster Soldier - Envoy of the Beginning|YGLD-ENA02
Black Luster Soldier - Envoy of the Beginning|CT10-EN005
Black Luster Soldier - Soldier of Chaos|MAMA-EN073
Black Luster Soldier - Soldier of Chaos|MAMA-EN073
Black Luster Soldier - Soldier of Chaos|OP17-EN003
Black Luster Soldier - Soldier of Chaos|GFTP-EN132
Black Luster Soldier - Soldier of Chaos|BLHR-EN046
Black Luster Soldier - Super Soldier|MP16-EN136
Black Luster Soldier - Super Soldier|DOCS-EN042
Black Luster Soldier - Super Soldier|DOCS-EN042
Blackwing Tamer - Obsidian Hawk Joe|LDS2-EN042
Blackwing Tamer - Obsidian Hawk Joe|PGL2-EN012
Blade Armor Ninja|CBLZ-ENSE2
Blade Armor Ninja|ORCS-EN041
Blade Bounzer|GAOV-EN010
Blade Knight|STP4-EN017
Blade Knight|SBAD-EN006
Blade Knight|LDK2-ENK13
Blade Knight|YS15-ENF07
Blade Knight|BPW2-EN012
Blade Knight|WGRT-EN012
Blade Knight|YSKR-EN018
Blade Knight|YS11-EN014
Blade Knight|DT04-EN003
Blade Knight|DL09-EN007
Blade Knight|CP06-EN007
Blade Knight|DB2-EN034
Blade Knight|CT1-EN002
Blade Skater|SGX1-ENE01
Blade Skater|DR04-EN063
Blade Skater|EEN-EN003
Blindly Loyal Goblin|DCR-EN022
Blindly Loyal Goblin|DCR-EN022
Blindly Loyal Goblin|DR1-EN184
Blindly Loyal Goblin|DCR-022
Blizzard Warrior|HAC1-EN030
Blizzard Warrior|DT01-EN011
Blizzard Warrior|HA01-EN002
Blue Flame Swordsman|LDK2-ENJ14
Blue Flame Swordsman|LC04-EN001
Blue Mountain Butterspy|LEHD-ENC07
Blue Mountain Butterspy|NUMH-EN012
Boost Warrior|BLAR-EN063
Boost Warrior|DP10-EN012
Cameraclops|BPW2-EN048
Cameraclops|WGRT-EN048
Celtic Guardian|YGLD-ENA09
Chaos-End Master|RGBT-EN092
Colossal Fighter|BATT-EN018
Colossal Fighter|TU05-EN000
Cyber Gymnast|BPW2-EN016
Cyber Gymnast|WGRT-EN016
Cyber Prima|BPW2-EN017
Cyber Prima|WGRT-EN017
Cyber Tutu|SGX1-ENE07
D.D. Esper Star Sparrow|BPW2-EN056
D.D. Esper Star Sparrow|WGRT-EN056
Dark Grepher|PTDN-ENSP1
Dark Scorpion - Cliff the Trap Remover|DR1-EN133
Dark Scorpion - Cliff the Trap Remover|MFC-078
Defender of the Labyrinth|MP20-EN127
Destiny HERO - Defender|BPW2-EN019
Destiny HERO - Defender|WGRT-EN019
Destiny HERO - Destroyer Phoenix Enforcer|POTE-EN100
Destiny HERO - Dominance|MP20-EN064
Destiny HERO - Drawhand|MP20-EN055
Divine Knight Ishzark|LCJW-EN046
Divine Knight Ishzark|LODT-EN091
Dododo Warrior|BPW2-EN059
Dododo Warrior|WGRT-EN059
Dragodies, the Empowered Warrior|MP17-EN120
Dragodies, the Empowered Warrior|TDIL-EN093
Dragon Horn Hunter|DUEA-ENSP1
Drill Warrior|DREV-ENSE1
Driven Daredevil|LC5D-EN248
Driven Daredevil|ORCS-EN097
Dual Avatar - Empowered Mitsu-Jaku|BLVO-EN041
Dual Avatar - Manifested A-Un|CYAC-EN038
Dual Avatar Feet - Armored Un-Gyo|PHRA-EN033
Dual Avatar Feet - Kokoku|PHRA-EN015
Dual Avatar Fists - Armored Ah-Gyo|PHRA-EN032
Dual Avatar Fists - Yuhi|PHRA-EN014
Dust Knight|REDU-EN034
Dverg of the Nordic Alfar|OP18-EN015
Dverg of the Nordic Alfar|LEHD-ENB05
Dverg of the Nordic Alfar|LC5D-EN183
Dverg of the Nordic Alfar|STOR-EN016
Earth Armor Ninja|SP13-EN018
Earth Armor Ninja|SP13-EN018
Earth Armor Ninja|ORCS-EN016
Edea the Heavenly Squire|BROL-EN078
Edea the Heavenly Squire|SR01-EN003
Ehren, Lightsworn Monk|SR02-EN021
Ehren, Lightsworn Monk|SDLI-EN011
Ehren, Lightsworn Monk|DT07-EN059
Ehren, Lightsworn Monk|CT08-EN016
Ehren, Lightsworn Monk|LODT-EN082
Eka the Flame Buddy|MP23-EN130
Eka the Flame Buddy|POTE-EN034
Elder of the Six Samurai|SDWA-EN021
Elder of the Six Samurai|SAAS-EN001
Elder of the Six Samurai|EXVC-EN028
Elemental HERO Absolute Zero|BLHR-EN065
Elemental HERO Absolute Zero|OP05-EN023
Elemental HERO Absolute Zero|GENF-ENSE1
Elemental HERO Absolute Zero|YG04-EN001
Elemental HERO Air Neos|STON-EN034
Elemental HERO Air Neos|STON-EN034
Elemental HERO Aqua Neos|LCGX-EN057
Elemental HERO Aqua Neos|DP03-EN012
Elemental HERO Aqua Neos|POTD-EN031
Elemental HERO Aqua Neos|POTD-EN031
Elemental HERO Avian|SGX3-ENA02
Elemental HERO Avian|SGX2-ENA01
Elemental HERO Avian|SGX1-ENA01
Elemental HERO Avian|SDHS-EN006
Elemental HERO Avian|RYMP-EN001
Elemental HERO Avian|LCGX-EN001
Elemental HERO Avian|LCGX-EN002
Elemental HERO Avian|YSDJ-EN005
Elemental HERO Avian|DR3-EN181
Elemental HERO Avian|YSD-EN007
Elemental HERO Avian|DP1-EN001
Elemental HERO Avian|TLM-EN001
Elemental HERO Bladedge|SGX2-ENA09
Elemental HERO Bladedge|SGX1-ENA09
Elemental HERO Bladedge|SDHS-EN009
Elemental HERO Bladedge|LCGX-EN013
Elemental HERO Bladedge|DR04-EN067
Elemental HERO Bladedge|YSDJ-EN018
Elemental HERO Bladedge|DP03-EN002
Elemental HERO Bladedge|YSD-EN019
Elemental HERO Bladedge|EEN-EN007
Elemental HERO Bladedge|EEN-EN007
Elemental HERO Blazeman|STP6-EN009
Elemental HERO Blazeman|SGX2-ENA11
Elemental HERO Blazeman|LEHD-ENA16
Elemental HERO Blazeman|WSUP-EN032
Elemental HERO Brave Neos|SAST-EN035
Elemental HERO Bubbleman|SGX2-ENA08
Elemental HERO Bubbleman|SGX2-ENA08
Elemental HERO Bubbleman|SGX1-ENA08
Elemental HERO Bubbleman|SDHS-EN012
Elemental HERO Bubbleman|LCGX-EN012
Elemental HERO Bubbleman|DR04-EN014
Elemental HERO Bubbleman|YSDJ-EN017
Elemental HERO Bubbleman|DP1-EN009
Elemental HERO Bubbleman|CRV-EN014
Elemental HERO Bubbleman|CRV-EN014
Elemental HERO Burstinatrix|SGX3-ENA03
Elemental HERO Burstinatrix|SGX2-ENA02
Elemental HERO Burstinatrix|SGX1-ENA02
Elemental HERO Burstinatrix|LART-EN041
Elemental HERO Burstinatrix|RYMP-EN002
Elemental HERO Burstinatrix|LCGX-EN003
Elemental HERO Burstinatrix|LCGX-EN004
Elemental HERO Burstinatrix|YSDJ-EN006
Elemental HERO Burstinatrix|MDP2-EN003
Elemental HERO Burstinatrix|DR3-EN182
Elemental HERO Burstinatrix|YSD-EN008
Elemental HERO Burstinatrix|DP1-EN002
Elemental HERO Burstinatrix|TLM-EN002
Elemental HERO Captain Gold|LCGX-EN026
Elemental HERO Captain Gold|GLD2-EN025
Elemental HERO Captain Gold|DP06-EN004
Elemental HERO Captain Gold|FOTB-EN014
Elemental HERO Captain Gold|FOTB-EN014
Elemental HERO Chaos Neos|BLAR-EN055
Elemental HERO Chaos Neos|SHVA-EN035
Elemental HERO Chaos Neos|LCGX-EN065
Elemental HERO Chaos Neos|GLAS-EN036
Elemental HERO Chaos Neos|GLAS-EN036
Elemental HERO Clayman|SGX3-ENA04
Elemental HERO Clayman|SGX2-ENA03
Elemental HERO Clayman|SGX1-ENA03
Elemental HERO Clayman|LCGX-EN005
Elemental HERO Clayman|YSDJ-EN007
Elemental HERO Clayman|DR3-EN183
Elemental HERO Clayman|YSD-EN009
Elemental HERO Clayman|DP1-EN003
Elemental HERO Clayman|TLM-EN003
Elemental HERO Core|SHVI-ENSE2
Elemental HERO Core|JUMP-EN071
Elemental HERO Cosmo Neos|SAST-EN036
Elemental HERO Dark Neos|LCGX-EN059
Elemental HERO Dark Neos|DP03-EN014
Elemental HERO Dark Neos|POTD-EN033
Elemental HERO Dark Neos|POTD-EN033
Elemental HERO Darkbright|SGX1-ENA25
Elemental HERO Darkbright|LCGX-EN063
Elemental HERO Darkbright|DT04-EN036
Elemental HERO Darkbright|TAEV-EN042
Elemental HERO Darkbright|TAEV-EN042
Elemental HERO Divine Neos|RYMP-EN020
Elemental HERO Divine Neos|LCGX-EN077
Elemental HERO Divine Neos|CSOC-EN098
Elemental HERO Electrum|SGX2-ENA22
Elemental HERO Electrum|RYMP-EN017
Elemental HERO Electrum|LCGX-EN052
Elemental HERO Electrum|MDP2-EN001
Elemental HERO Escuridao|BLAR-EN056
Elemental HERO Escuridao|SP13-EN046
Elemental HERO Escuridao|SP13-EN046
Elemental HERO Escuridao|YG09-EN001
Elemental HERO Flame Wingman|SGX1-ENA21
Elemental HERO Flame Wingman|SGX1-ENA21
Elemental HERO Flame Wingman|HAC1-EN019
Elemental HERO Flame Wingman|RYMP-EN016
Elemental HERO Flame Wingman|LCGX-EN045
Elemental HERO Flame Wingman|DT03-EN035
Elemental HERO Flame Wingman|DR3-EN215
Elemental HERO Flame Wingman|DP1-EN010
Elemental HERO Flame Wingman|TLM-EN035
Elemental HERO Flame Wingman|TLM-EN035
Elemental HERO Flame Wingman - Infernal Rage|BLMR-EN012
Elemental HERO Flare Neos|LCGX-EN058
Elemental HERO Flare Neos|DP03-EN013
Elemental HERO Flare Neos|POTD-EN032
Elemental HERO Flare Neos|POTD-EN032
Elemental HERO Flash|GENF-EN090
Elemental HERO Gaia|DT06-EN034
Elemental HERO Gaia|CT08-EN011
Elemental HERO Gaia|ANPR-EN099
Elemental HERO Glow Neos|LCGX-EN061
Elemental HERO Glow Neos|STON-EN036
Elemental HERO Glow Neos|STON-EN036
Elemental HERO Grand Neos|LCGX-EN060
Elemental HERO Grand Neos|CT04-EN001
Elemental HERO Grand Neos|STON-EN035
Elemental HERO Grand Neos|STON-EN035
Elemental HERO Grandmerge|DUPO-EN004
Elemental HERO Great Tornado|SDHS-EN045
Elemental HERO Great Tornado|LC02-EN010
Elemental HERO Honest Neos|LDS3-EN102
Elemental HERO Honest Neos|LED6-EN019
Elemental HERO Honest Neos|BLRR-EN079
Elemental HERO Honest Neos|DUSA-EN028
Elemental HERO Ice Edge|AP01-EN018
Elemental HERO Ice Edge|STOR-EN098
Elemental HERO Liquid Soldier|LDS3-EN103
Elemental HERO Liquid Soldier|LED6-EN013
Elemental HERO Liquid Soldier|LED6-EN013
Elemental HERO Magma Neos|SHVA-EN034
Elemental HERO Magma Neos|LCGX-EN064
Elemental HERO Magma Neos|TAEV-EN043
Elemental HERO Marine Neos|LCGX-EN062
Elemental HERO Marine Neos|TAEV-EN041
Elemental HERO Mariner|SGX2-ENA24
Elemental HERO Mariner|LCGX-EN054
Elemental HERO Mariner|DR04-EN214
Elemental HERO Mariner|EOJ-EN034
Elemental HERO Mudballman|RYMP-EN018
Elemental HERO Mudballman|LCGX-EN053
Elemental HERO Mudballman|MDP2-EN002
Elemental HERO Nebula Neos|CT15-EN001
Elemental HERO Necroid Shaman|SGX2-ENE11
Elemental HERO Necroid Shaman|LCGX-EN056
Elemental HERO Necroid Shaman|DR04-EN216
Elemental HERO Necroid Shaman|EOJ-EN036
Elemental HERO Necroshade|SGX1-ENA11
Elemental HERO Necroshade|SDHS-EN010
Elemental HERO Necroshade|RYMP-EN005
Elemental HERO Necroshade|LCGX-EN015
Elemental HERO Necroshade|DT04-EN007
Elemental HERO Necroshade|YSDJ-EN000
Elemental HERO Necroshade|GX1-EN001
Elemental HERO Neo Bubbleman|DR04-EN124
Elemental HERO Neo Bubbleman|SOI-EN004
Elemental HERO Neos|TN23-EN006
Elemental HERO Neos|MAMA-EN106
Elemental HERO Neos|HAC1-EN004
Elemental HERO Neos|MGED-EN004
Elemental HERO Neos|DUPO-EN102
Elemental HERO Neos|SHVA-EN031
Elemental HERO Neos|SDHS-EN007
Elemental HERO Neos|RYMP-EN004
Elemental HERO Neos|LCGX-EN008
Elemental HERO Neos|DL12-EN001
Elemental HERO Neos|DT01-EN005
Elemental HERO Neos|DTP1-EN005
Elemental HERO Neos|DTP1-EN005
Elemental HERO Neos|DP03-EN001
Elemental HERO Neos|CT03-EN001
Elemental HERO Neos|POTD-EN001
Elemental HERO Neos Alius|BLAR-EN053
Elemental HERO Neos Alius|OP09-EN013
Elemental HERO Neos Alius|PGL2-EN029
Elemental HERO Neos Alius|SDHS-EN008
Elemental HERO Neos Alius|DT06-EN052
Elemental HERO Neos Alius|RYMP-EN010
Elemental HERO Neos Alius|LCGX-EN028
Elemental HERO Neos Alius|GLD2-EN028
Elemental HERO Neos Alius|DP06-EN005
Elemental HERO Neos Alius|TAEV-EN018
Elemental HERO Neos Alius|TAEV-EN018
Elemental HERO Neos Knight|BLHR-EN064
Elemental HERO Neos Knight|EXVC-EN093
Elemental HERO Neos Knight|EXVC-EN093
Elemental HERO Nova Master|STP6-EN011
Elemental HERO Nova Master|SGX2-ENA25
Elemental HERO Nova Master|BLLR-EN056
Elemental HERO Nova Master|GENF-EN093
Elemental HERO Nova Master|GENF-EN093
Elemental HERO Ocean|SDHS-EN002
Elemental HERO Ocean|LCGX-EN025
Elemental HERO Ocean|DT05-EN014
Elemental HERO Ocean|CT07-EN018
Elemental HERO Ocean|CP07-EN006
Elemental HERO Ocean|JUMP-EN013
Elemental HERO Phoenix Enforcer|LCGX-EN138
Elemental HERO Phoenix Enforcer|DR04-EN212
Elemental HERO Phoenix Enforcer|DP05-EN012
Elemental HERO Phoenix Enforcer|EOJ-EN032
Elemental HERO Phoenix Enforcer|EOJ-EN032
Elemental HERO Plasma Vice|STP5-EN003
Elemental HERO Plasma Vice|SGX1-ENA26
Elemental HERO Plasma Vice|LCGX-EN066
Elemental HERO Plasma Vice|CT04-EN006
Elemental HERO Plasma Vice|GLAS-EN037
Elemental HERO Prisma|FUEN-EN047
Elemental HERO Prisma|PGL2-EN072
Elemental HERO Prisma|RYMP-EN012
Elemental HERO Prisma|LCGX-EN033
Elemental HERO Prisma|DT03-EN007
Elemental HERO Prisma|GLD3-EN014
Elemental HERO Prisma|DPCT-EN002
Elemental HERO Rampart Blaster|SGX1-ENA23
Elemental HERO Rampart Blaster|LCGX-EN047
Elemental HERO Rampart Blaster|DR04-EN093
Elemental HERO Rampart Blaster|DP1-EN012
Elemental HERO Rampart Blaster|EEN-EN033
Elemental HERO Rampart Blaster|EEN-EN033
Elemental HERO Shadow Mist|LEHD-ENA15
Elemental HERO Shadow Mist|SDHS-EN001
Elemental HERO Shining Flare Wingman|SGX3-ENI25
Elemental HERO Shining Flare Wingman|SGX3-ENI25
Elemental HERO Shining Flare Wingman|HAC1-EN020
Elemental HERO Shining Flare Wingman|BLAR-EN054
Elemental HERO Shining Flare Wingman|LCGX-EN050
Elemental HERO Shining Flare Wingman|DT03-EN086
Elemental HERO Shining Flare Wingman|DR04-EN096
Elemental HERO Shining Flare Wingman|CT03-EN004
Elemental HERO Shining Flare Wingman|EEN-EN036
Elemental HERO Shining Flare Wingman|EEN-EN036
Elemental HERO Stratos|BODE-EN100
Elemental HERO Stratos|MAGO-EN004
Elemental HERO Stratos|OP09-EN001
Gagaga Cowboy|AP05-EN002
Gagaga Cowboy|CT10-EN010
Gaia The Fierce Knight|YGLD-ENA05
Gaia the Fierce Knight Origin|
General Raiho of the Ice Barrier|BPW2-EN039
General Raiho of the Ice Barrier|WGRT-EN039
Giltia the D. Knight - Soul Spear|LDS3-EN137
Gold Pride - Leon|
Gold Pride - Leon|PHHY-ENSP1
Grandmaster of the Six Samurai|BATT-EN016
Guardian of Order|LODT-ENSP1
Hand of the Six Samurai|STOR-ENSE2
Hard Armor|LOB-EN074
Hard Armor|LOB-074
Heroic Challenger - Night Watchman|BPW2-EN054
Heroic Challenger - Night Watchman|WGRT-EN054
Ignoble Knight of Black Laundsallyn|ABYR-ENSP1
Junk Forward|BPW2-EN046
Junk Forward|WGRT-EN046
Junk Gardna|YMP1-EN006
Kanan the Swordmistress|WCS-001
Kuraz the Light Monarch|OP02-EN002
Legendary Six Samurai - Shi En|RYMP-ENSE1
Masked HERO Acid|TOCH-EN045
Masked HERO Acid|PRC1-EN018
Masked HERO Blast|RATE-ENSE2
Masked HERO Dark Law|OP01-EN003
Neo Space Connector|MP20-EN007
Noble Knight Gawayn|REDU-ENSP1
Number 39: Utopia|OP17-EN001
Number 39: Utopia|BLAR-EN000
Number 90: Galaxy-Eyes Photon Lord|BLRR-EN033
Number S39: Utopia the Lightning|OP04-EN001
Number S39: Utopia the Lightning|TDIL-ENSE2
Number XX: Utopic Dark Infinity|MP20-EN094
Obnoxious Celtic Guard|SD5-EN007
Photon Papilloperative|AP02-EN002
Photon Thrasher|AP01-EN003
Power Breaker|BPW2-EN037
Power Breaker|WGRT-EN037
Rose, Warrior of Revenge|CSOC-ENSP1
Sakyo, Swordmaster of the Far East|2015-EN002
Silent Swordsman LV3|YGLD-ENC08
Silent Swordsman LV5|YGLD-ENC07
Silent Swordsman LV7|YGLD-ENC06
Sky Striker Ace - Raye|OP20-EN002
Strike Ninja|BATT-EN003
Subterror Nemesis Warrior|TDIL-ENSE3
Swallowtail Butterspy|BPW2-EN047
Swallowtail Butterspy|WGRT-EN047
Tatakawa Knight|LTGY-EN005
Tearlaments Reinoheart|OP21-EN002
Utopic Onomatopoeia|DUPO-EN009
Visas Starfrost|CYAC-EN100
Visas Starfrost|
Xtra HERO Cross Crusader|MP20-EN070
Zubaba General|WGRT-EN104
Battlestorm|RGBT-ENSP1
Blackwing - Elphin the Raven|BPW2-EN026
Blackwing - Elphin the Raven|WGRT-EN026
Blackwing - Elphin the Raven|CT06-ENS01
Blackwing - Gram the Shining Star|TDIL-ENSE1
Blackwing Armor Master|BATT-EN009
Castel, the Skyblaster Musketeer|AP07-EN002
Cyber Harpie Lady|BATT-EN012
D.D. Crow|ROTD-EN100
Earthbound Immortal Aslla piscu|CT06-ENS02
Floowandereeze & Empen|
Gladiator Beast Gyzarus|BATT-EN008
Gladiator Beast Sagittarii|MP20-EN155
Hraesvelgr, the Desperate Doom Eagle|MP20-EN141
Kaiser Eagle, the Heavens' Mandate|2019-EN001
Raider's Wing|MP21-EN166
Sky Scout|DB1-EN094
Sky Scout|SDJ-011
Sky Scout|PSV-049
Tornado Bird|DB2-EN009
Ulevo|WCS-EN401
Vortex the Whirlwind|STOR-ENSP1
Winged Sage Falcos|BPW2-EN007
Winged Sage Falcos|WGRT-EN007
Berserker of the Tenyi|MP20-EN123
Draco Berserker of the Tenyi|MP20-EN166
Draco Masters of the Tenyi|MP20-EN205
Mementoal Tecuhtlica - Combined Creation|VASM-EN001
Monk of the Tenyi|MP20-EN121
Shaman of the Tenyi|MP20-EN122
Tenyi Spirit - Adhara|MP20-EN106
Tenyi Spirit - Ashuna|MP20-EN161
Tenyi Spirit - Mapura|MP20-EN108
Tenyi Spirit - Nahata|MP20-EN109
Tenyi Spirit - Shthana|MP20-EN107
Tenyi Spirit - Vishuda|MP20-EN110
Astra Ghouls|MP20-EN201
Ghost Reaper & Winter Cherries|OP20-EN001
Ghostrick Ghoul|SHSP-ENSP1
Number 22: Zombiestein|RATE-ENSE1
Number 23: Lancelot, Dark Knight of the Underworld|BOSH-ENSE2
Red Ogre|BPW2-EN025
Red Ogre|WGRT-EN025
Scapeghost|SHVI-ENSE4
Shinobi Necro|MP20-EN049
Shiranui Squiresaga|SAST-ENSP1
Spirit Reaper|BATT-EN013
Vampire Baby|DB1-EN200
Vampire Baby|PSV-090
Vendread Scavenger|POTE-EN040
Black Luster Ritual|YGLD-ENA36
Black Magic Ritual|YGLD-ENC32
Abominable Chamber of the Unchained|MP20-EN192
Adhesion Trap Hole|BPW2-EN083
Adhesion Trap Hole|WGRT-EN083
Amazement Family Faces|LIOV-EN070
Apple of Enlightenment|MP20-EN046
Appointer of the Red Lotus|SDFC-EN035
Attention!|BPW2-EN090
Attention!|WGRT-EN090
Beast Soul Swap|DL16-EN015
Beast Soul Swap|DR3-EN175
Beast Soul Swap|FET-EN055
Blasting Fuse|CDIP-EN049
Blasting Fuse|CDIP-EN049
Blasting the Ruins|IOC-EN048
Blasting the Ruins|DR2-EN048
Blasting the Ruins|IOC-048
Blasting the Ruins|IOC-EN048
Blazing Mirror Force|SDPL-EN034
Blazing Mirror Force|PGL3-EN100
Blazing Mirror Force|DOCS-EN076
Blessings for Gusto|HA05-EN059
Blessings for Gusto|DT05-EN097
Blind Obliteration|COTD-EN079
Blooming of the Darkest Rose|LDS2-EN120
Blooming of the Darkest Rose|LED4-EN027
Blossom Bombardment|LC5D-EN108
Blossom Bombardment|TSHD-EN074
Bonding - DHO|SGX2-ENC18
